name	tissue	gender	race	project	num_samples	median_PC	median_LNC	median_EB
Brain_Hypothalamus-female-black_or_african_american_gtex	Brain_Hypothalamus	female	black_or_african_american	gtex	2	3.4633104999999995	1.94849825	1.58179
Thymus-male-asian_tcga	Thymus	male	asian	tcga	6	4.8345315	2.1419099999999998	1.6411677500000001
Artery_Coronary-female-asian_gtex	Artery_Coronary	female	asian	gtex	4	4.7972795	2.0425705	1.6871535
Colorectal-male-white_tcga	Colorectal	male	white	tcga	158	4.926171500000001	1.909128	1.5415065000000001
Brain_Cerebellum-male-white_gtex	Brain_Cerebellum	male	white	gtex	157	4.462591000000001	2.388597	1.862746
Uterus-female-black_or_african_american_tcga	Uterus	female	black_or_african_american	tcga	75	4.674768	1.9370159999999998	1.5757379999999999
Liver-male-black_or_african_american_tcga	Liver	male	black_or_african_american	tcga	14	4.5036337500000005	2.0852440000000003	1.7194542499999999
Esophagus_GastroesophagealJunction-female-asian_gtex	Esophagus_GastroesophagealJunction	female	asian	gtex	4	4.8310805000000006	2.0534495	1.6778469999999999
Bladder-male-black_or_african_american_tcga	Bladder	male	black_or_african_american	tcga	13	4.870243	1.934884	1.5584209999999998
Bone_Marrow-male-black_or_african_american_tcga	Bone_Marrow	male	black_or_african_american	tcga	7	3.050175	1.8517860000000002	1.758946
Brain_CerebellarHemisphere-female-asian_gtex	Brain_CerebellarHemisphere	female	asian	gtex	1	4.822794999999999	2.439299	1.8930515
Brain_Caudate_basalganglia_-male-white_gtex	Brain_Caudate_basalganglia_	male	white	gtex	162	3.3638545	1.94141825	1.5886425
MinorSalivaryGland-male-white_gtex	MinorSalivaryGland	male	white	gtex	95	3.8915620000000004	1.925831	1.6168685
Lung-female-asian_tcga	Lung	female	asian	tcga	6	4.373425	1.9079175	1.552104
Colon_Transverse-female-white_gtex	Colon_Transverse	female	white	gtex	125	3.973786	1.9651200000000002	1.6059725
Bladder-male-asian_tcga	Bladder	male	asian	tcga	36	4.3702682500000005	1.95656375	1.5902555
Head_and_Neck-male-white_tcga	Head_and_Neck	male	white	tcga	307	4.9389565	1.9002124999999999	1.6225684999999999
Prostate-male-asian_tcga	Prostate	male	asian	tcga	12	5.105002000000001	2.0161025	1.639149
